Nom du template de requete,Nom du fichier de requetes,Nom du fichier de données,Nombre de requêtes,Nombre de données,Nombre de requetes sans resultats
Q_1_eligibleregion_1000.queryset,Q_1_eligibleregion_1000.queryset,2M.rdf,1000,2M,0
Q_1_eligibleregion_1000.queryset,Q_1_eligibleregion_1000.queryset,500K.rdf,1000,500K,0
Q_1_includes_1000.queryset,Q_1_includes_1000.queryset,2M.rdf,1000,2M,28
Q_1_includes_1000.queryset,Q_1_includes_1000.queryset,500K.rdf,1000,500K,502
Q_1_likes_1000.queryset,Q_1_likes_1000.queryset,2M.rdf,1000,2M,18
Q_1_likes_1000.queryset,Q_1_likes_1000.queryset,500K.rdf,1000,500K,504
Q_1_nationality_1000.queryset,Q_1_nationality_1000.queryset,2M.rdf,1000,2M,17
Q_1_nationality_1000.queryset,Q_1_nationality_1000.queryset,500K.rdf,1000,500K,257
Q_1_subscribes_1000.queryset,Q_1_subscribes_1000.queryset,2M.rdf,1000,2M,0
Q_1_subscribes_1000.queryset,Q_1_subscribes_1000.queryset,500K.rdf,1000,500K,479
Q_2_includes_eligibleRegion_1000.queryset,Q_2_includes_eligibleRegion_1000.queryset,2M.rdf,1000,2M,967
Q_2_includes_eligibleRegion_1000.queryset,Q_2_includes_eligibleRegion_1000.queryset,500K.rdf,1000,500K,991
Q_2_likes_nationality_1000.queryset,Q_2_likes_nationality_1000.queryset,2M.rdf,1000,2M,653
Q_2_likes_nationality_1000.queryset,Q_2_likes_nationality_1000.queryset,500K.rdf,1000,500K,890
Q_2_subscribes_likes_1000.queryset,Q_2_subscribes_likes_1000.queryset,2M.rdf,1000,2M,991
Q_2_subscribes_likes_1000.queryset,Q_2_subscribes_likes_1000.queryset,500K.rdf,1000,500K,997
Q_2_tag_homepage_1000.queryset,Q_2_tag_homepage_1000.queryset,2M.rdf,1000,2M,967
Q_2_tag_homepage_1000.queryset,Q_2_tag_homepage_1000.queryset,500K.rdf,1000,500K,993
Q_3_location_gender_type_1000.queryset,Q_3_location_gender_type_1000.queryset,2M.rdf,1000,2M,146
Q_3_location_gender_type_1000.queryset,Q_3_location_gender_type_1000.queryset,500K.rdf,1000,500K,313
Q_3_location_nationality_gender_1000.queryset,Q_3_location_nationality_gender_1000.queryset,2M.rdf,1000,2M,738
Q_3_location_nationality_gender_1000.queryset,Q_3_location_nationality_gender_1000.queryset,500K.rdf,1000,500K,844
Q_3_nationality_gender_type_1000.queryset,Q_3_nationality_gender_type_1000.queryset,2M.rdf,1000,2M,253
Q_3_nationality_gender_type_1000.queryset,Q_3_nationality_gender_type_1000.queryset,500K.rdf,1000,500K,426
Q_4_location_nationality_gender_type_1000.queryset,Q_4_location_nationality_gender_type_1000.queryset,2M.rdf,1000,2M,863
Q_4_location_nationality_gender_type_1000.queryset,Q_4_location_nationality_gender_type_1000.queryset,500K.rdf,1000,500K,923
