Nom du template de requete,Nom du fichier de requetes,Nom du fichier de données,Nombre de requêtes,Nombre de données,Nombre de requetes sans resultats
Q_1_eligibleregion_10000.queryset,Q_1_eligibleregion_10000.queryset,2M.rdf,10000,2M,0
Q_1_eligibleregion_10000.queryset,Q_1_eligibleregion_10000.queryset,500K.rdf,10000,500K,0
Q_1_includes_10000.queryset,Q_1_includes_10000.queryset,2M.rdf,10000,2M,283
Q_1_includes_10000.queryset,Q_1_includes_10000.queryset,500K.rdf,10000,500K,5061
Q_1_likes_10000.queryset,Q_1_likes_10000.queryset,2M.rdf,10000,2M,286
Q_1_likes_10000.queryset,Q_1_likes_10000.queryset,500K.rdf,10000,500K,5137
Q_1_nationality_10000.queryset,Q_1_nationality_10000.queryset,2M.rdf,10000,2M,149
Q_1_nationality_10000.queryset,Q_1_nationality_10000.queryset,500K.rdf,10000,500K,2751
Q_1_subscribes_10000.queryset,Q_1_subscribes_10000.queryset,2M.rdf,10000,2M,0
Q_1_subscribes_10000.queryset,Q_1_subscribes_10000.queryset,500K.rdf,10000,500K,5005
Q_2_includes_eligibleRegion_10000.queryset,Q_2_includes_eligibleRegion_10000.queryset,2M.rdf,10000,2M,9726
Q_2_includes_eligibleRegion_10000.queryset,Q_2_includes_eligibleRegion_10000.queryset,500K.rdf,10000,500K,9858
Q_2_likes_nationality_10000.queryset,Q_2_likes_nationality_10000.queryset,2M.rdf,10000,2M,6926
Q_2_likes_nationality_10000.queryset,Q_2_likes_nationality_10000.queryset,500K.rdf,10000,500K,8834
Q_2_subscribes_likes_10000.queryset,Q_2_subscribes_likes_10000.queryset,2M.rdf,10000,2M,9912
Q_2_subscribes_likes_10000.queryset,Q_2_subscribes_likes_10000.queryset,500K.rdf,10000,500K,9923
Q_2_tag_homepage_10000.queryset,Q_2_tag_homepage_10000.queryset,2M.rdf,10000,2M,9710
Q_2_tag_homepage_10000.queryset,Q_2_tag_homepage_10000.queryset,500K.rdf,10000,500K,9878
Q_3_location_gender_type_10000.queryset,Q_3_location_gender_type_10000.queryset,2M.rdf,10000,2M,1386
Q_3_location_gender_type_10000.queryset,Q_3_location_gender_type_10000.queryset,500K.rdf,10000,500K,2924
Q_3_location_nationality_gender_10000.queryset,Q_3_location_nationality_gender_10000.queryset,2M.rdf,10000,2M,7277
Q_3_location_nationality_gender_10000.queryset,Q_3_location_nationality_gender_10000.queryset,500K.rdf,10000,500K,8493
Q_3_nationality_gender_type_10000.queryset,Q_3_nationality_gender_type_10000.queryset,2M.rdf,10000,2M,2279
Q_3_nationality_gender_type_10000.queryset,Q_3_nationality_gender_type_10000.queryset,500K.rdf,10000,500K,4035
Q_4_location_nationality_gender_type_10000.queryset,Q_4_location_nationality_gender_type_10000.queryset,2M.rdf,10000,2M,8605
Q_4_location_nationality_gender_type_10000.queryset,Q_4_location_nationality_gender_type_10000.queryset,500K.rdf,10000,500K,9327
